"","avgScore11","avgFG11","avgTP11","avgFT11","avgRB11","avgASS11","avgTO11","avgSTL11","avgBL11","avgPF11","GP11"
"3",69.9705882352941,24.5882352941176,7.88235294117647,12.9117647058824,32.6764705882353,14.3529411764706,12.0294117647059,6.44117647058824,3.41176470588235,19.2352941176471,1
"6",61.5625,20.90625,4.8125,14.9375,27.75,11.625,15.71875,7.3125,4.5625,22.3125,1
"12",76.5294117647059,25.4117647058824,7.94117647058824,17.7647058823529,49.5882352941176,14.0882352941176,12.8529411764706,5.02941176470588,2.64705882352941,18.6176470588235,4
"14",66.2727272727273,21.969696969697,6.6969696969697,15.6363636363636,33.9393939393939,11.030303030303,11.6363636363636,5.6969696969697,2.36363636363636,20.7272727272727,1
"25",80.3529411764706,27.2352941176471,9.44117647058824,16.4411764705882,44.1470588235294,16.3823529411765,13.9411764705882,9.73529411764706,3.47058823529412,20.8235294117647,1
"31",65.2058823529412,21.5,7.52941176470588,14.6764705882353,39.8823529411765,9.85294117647059,11.9411764705882,5.38235294117647,3.70588235294118,18.2058823529412,1
"37",70.7575757575758,24.5757575757576,6.87878787878788,14.7272727272727,52.9090909090909,14.7272727272727,11.3636363636364,4.75757575757576,3.18181818181818,18.2424242424242,1
"39",72.4838709677419,24.7096774193548,7.45161290322581,15.6129032258065,46.1935483870968,12.4193548387097,11.2903225806452,5.93548387096774,1.51612903225806,19.1612903225806,6
"40",81.2727272727273,27.5454545454545,8.18181818181818,18,55.9393939393939,14.2727272727273,11,7.96969696969697,4.18181818181818,17.6060606060606,3
"53",68.969696969697,24.1515151515152,6.42424242424242,14.2424242424242,32.3333333333333,14.2727272727273,11.5757575757576,7.57575757575758,3.78787878787879,17.3030303030303,2
"55",68.25,23.71875,6.5,14.3125,28.875,12.90625,13.34375,8.03125,4.875,18.375,2
"63",73.4,26,5.82857142857143,15.5714285714286,41.3142857142857,13.1142857142857,11.7428571428571,6.62857142857143,5.62857142857143,16.0285714285714,6
"81",81.0588235294118,28.1176470588235,8,16.8235294117647,40.9411764705882,14.4117647058824,12.2352941176471,7.47058823529412,4.41176470588235,17.8823529411765,3
"96",71.5454545454545,25.9393939393939,6.21212121212121,13.4545454545455,36.5151515151515,13.7272727272727,12.4242424242424,5.87878787878788,3.54545454545455,14.4242424242424,4
"99",69.3225806451613,24.4838709677419,6.19354838709677,14.1612903225806,39.7741935483871,12.4838709677419,16.1290322580645,8.7741935483871,5.74193548387097,19.258064516129,3
"106",73.34375,25.90625,6.71875,14.8125,49.03125,14.3125,10.9375,6.75,3.3125,17.15625,2
"107",71.0322580645161,25.4516129032258,7.03225806451613,13.0967741935484,38.8709677419355,15.1290322580645,13.4193548387097,6.12903225806452,4.45161290322581,18.6129032258065,1
"108",68.8125,25,4.71875,14.09375,40.125,15.1875,13.40625,6.5,5.03125,16.5,1
"111",75.875,26.34375,5.625,17.5625,41.96875,14.90625,13.53125,7.34375,3.625,18.6875,2
"114",66.9032258064516,22.6129032258065,6.41935483870968,15.258064516129,43.6774193548387,11.8064516129032,12.1290322580645,7.32258064516129,5.70967741935484,18.4838709677419,1
"128",71.28125,26.34375,6.84375,11.75,34.53125,16.59375,12.71875,5.5625,4.625,17.59375,2
"132",65.84375,22.34375,6.75,14.40625,36.5,12.375,14.0625,6,4.28125,20.3125,1
"142",82.3823529411765,29.5882352941176,7.26470588235294,15.9411764705882,58.3235294117647,17.8823529411765,13.4705882352941,7.94117647058824,4.14705882352941,17.8823529411765,4
"143",72.7096774193548,24.8709677419355,7.06451612903226,15.9032258064516,31.0967741935484,14.1290322580645,14.9677419354839,6.2258064516129,4.64516129032258,20.4516129032258,2
"146",76.4242424242424,26.7878787878788,7.36363636363636,15.4848484848485,53.0606060606061,12.6969696969697,10.6666666666667,5.48484848484848,6.27272727272727,16.0909090909091,5
"154",82.59375,28.03125,6.90625,19.625,48.21875,15.125,15.34375,7.34375,3.4375,17.25,1
